term,freq
church,28297
-,19932
catholic,18916
',17343
god,16008
people,15327
jesus,13870
like,10611
just,10538
christian,9587
don't,9294
think,8298
women,8078
pope,7526
know,7472
it's,6956
catholics,6856
good,6771
does,6622
did,6605
time,6480
right,6448
christ,6011
way,5984
say,5782
believe,5588
life,5552
bishops,5447
said,5428
christians,5350
love,5196
religious,5097
priests,5066
trump,5010
francis,4985
need,4837
make,4804
faith,4796
years,4629
world,4585
want,4536
law,4282
men,4157
really,4037
s,4004
man,3969
religion,3789
teaching,3788
children,3704
i'm,3680
bible,3611
holy,3539
human,3423
things,3397
new,3324
white,3201
vatican,3170
true,3168
point,3132
read,3094
priest,3055
fact,2998
going,2997
sin,2986
that's,2981
truth,2932
doesn't,2905
change,2902
come,2797
person,2794
support,2788
work,2787
yes,2784
thing,2698
state,2688
marriage,2657
long,2564
gay,2561
better,2556
christianity,2550
issue,2549
wrong,2544
can't,2520
mass,2509
real,2500
use,2493
actually,2493
day,2481
great,2462
abortion,2448
problem,2440
understand,2394
sex,2376
different,2361
spirit,2360
agree,2359
didn't,2357
abuse,2354
churches,2321
sexual,2310
word,2299
public,2289
power,2286
old,2275
words,2275
care,2263
far,2246
question,2242
course,2241
history,2235
bishop,2232
father,2226
school,2211
says,2171
called,2161
sure,2152
doing,2147
help,2130
country,2113
little,2111
left,2107
let,2101
matter,2096
reason,2081
john,2073
family,2068
gospel,2068
article,2065
woman,2062
isn't,2052
live,2026
means,2022
moral,2021
god's,2021
ii,2006
saying,2003
social,1994
poor,1990
government,1984
political,1983
american,1980
look,1959
place,1959
used,1951
paul,1945
given,1942
today,1936
simply,1894
conservative,1870
mean,1848
away,1840
rights,1839
example,1838
money,1816
issues,1810
roman,1807
tell,1794
needs,1791
maybe,1788
hope,1779
thought,1768
child,1758
teachings,1754
based,1745
clergy,1727
community,1718
especially,1717
lord,1704
having,1693
death,1690
st,1676
authority,1673
america,1671
free,1665
schools,1660
male,1647
you're,1642
sense,1635
told,1631
case,1630
times,1626
end,1618
lot,1617
comment,1608
group,1604
bad,1595
makes,1594
best,1590
society,1584
act,1584
married,1562
order,1550
evil,1547
important,1546
understanding,1539
trying,1535
hate,1533
cardinal,1531
theology,1526
lives,1522
catholicism,1517
certainly,1516
feel,1513
got,1509
including,1492
mind,1474
making,1472
follow,1469
kind,1461
young,1460
doctrine,1450
personal,1450
try,1441
control,1438
claim,1435
clear,1413
idea,1409
instead,1404
body,1401
communion,1399
ago,1397
beliefs,1392
president,1391
scripture,1390
thank,1384
culture,1383
taught,1380
past,1379
accept,1373
quite,1368
justice,1365
living,1358
came,1358
view,1345
post,1343
vote,1342
speak,1336
comments,1333
party,1331
parish,1325
comes,1324
priesthood,1322
liberal,1314
freedom,1313
war,1307
year,1307
stop,1306
members,1300
church's,1290
civil,1280
continue,1275
earth,1273
states,1248
open,1240
ask,1232
respect,1230
probably,1222
laws,1219
position,1217
belief,1216
canada,1208
remember,1201
news,1197
common,1196
story,1189
i've,1180
thinking,1173
wants,1173
values,1171
prayer,1167
spiritual,1160
tradition,1160
book,1155
he's,1155
orthodox,1153
faithful,1149
big,1146
heart,1144
clearly,1140
opinion,1140
hard,1137
practice,1137
folks,1135
form,1133
hierarchy,1133
number,1130
mercy,1129
pray,1127
conscience,1125
female,1124
t,1122
mother,1119
majority,1115
black,1113
evidence,1113
reading,1111
secular,1108
answer,1108
experience,1107
ncr,1104
