term,freq
てる,921
統一教会,795
人,568
よ,547
キリスト,468
者,427
言う,401
年,353
って,345
日本,333
さん,328
ね,322
教会,322
的,289
だけ,276
教,276
宗教,267
思う,258
とか,241
日,234
けど,232
信者,223
月,220
安倍,215
自分,201
やる,196
じゃ,195
神,194
2016,190
お前,170
いい,159
事,158
聖書,158
見る,154
キリスト教,154
カトリック,153
匿名,151
イエス,151
無い,150
たい,146
カルト,146
しか,143
くる,143
韓国,138
金,135
日本人,135
俺,129
悪い,127
のに,124
統一,124
そう,123
世界,116
関係,108
ぬ,108
三,107
問題,107
信じる,106
人間,105
性,105
なんて,104
福音,104
04,103
信仰,101
自民党,99
山上,99
女,98
みたい,97
どう,97
政治,97
国,94
わかる,92
主義,92
わ,89
団体,88
話,85
知る,84
一,83
良い,81
笑,81
社会,81
中国,81
本,80
化,79
1,79
中,79
ども,78
男,77
論,77
家,77
考える,75
べし,75
悪魔,75
id,74
連中,73
ユダヤ,73
そんな,71
様,71
ぞ,69
理解,69
多い,69
10,69
来る,69
キリスト教徒,69
23,68
行く,68
同じ,67
子供,67
w,67
母親,67
05,66
罪,66
今,65
受ける,65
殺す,65
反,65
意味,64
存在,64
らしい,64
方,63
会,63
出る,62
前,62
11,62
わけ,61
言葉,60
作る,60
2025,60
こいつ,59
元,59
使う,59
07,58
こんな,58
ちゃん,57
03,57
奴,57
家庭,57
アメリカ,57
まあ,56
出来る,56
だって,56
バカ,56
クズ,56
晋,56
旧,56
戦争,55
系,54
被害,54
朝鮮,54
持つ,53
かも,52
分かる,52
派,52
教義,51
06,50
子,50
12,50
犯罪,50
全て,50
本当に,49
頭,49
すぎる,49
はず,49
24,49
生きる,49
死ぬ,49
地獄,49
大,49
科学,49
活動,49
ローマ,49
名無し,48
気,48
違う,48
なぜ,48
理由,48
二,48
だから,48
平和,48
マリア,48
結果,47
否定,47
しまう,47
騙す,47
高市,47
プロテスタント,47
2,46
00,46
書く,46
壺,46
政権,46
スレ,45
読む,45
馬鹿,45
主張,45
25,44
事件,44
献金,44
数,43
ほう,43
見える,43
あなた,43
証明,43
もう,43
続ける,43
ネトウヨ,43
御,43
13,42
疑う,42
みる,42
精神,42
出す,42
相手,42
偽善,42
自称,42
目,41
絶対,41
ばかり,41
詐欺,41
自殺,41
韓,41
破壊,41
おく,40
でる,40
なんか,40
誰,40
そもそも,40
嘘,40
0,40
万,40
洗脳,40
教え,40
議員,40
ズブズブ,40
18,39
すら,39
そういう,39
くれる,39
事実,39
上,39
力,39
共産,39
伝道,39
5,38
普通,38
組織,38
聞く,38
他,38
集団,38
協会,38
反日,38
感情,37
心,37
家族,37
価値,37
政党,37
差別,37
自己,37
現在,37
支配,37
教祖,37
ー,36
くらい,36
20,36
時,36
キチガイ,36
霊,36
いく,36
じゃん,35
やつ,35
批判,35
偽,35
実在,35
ただ,34
14,34
都合,34
08,34
おかしい,34
こそ,34
個人,34
教える,34
為,34
工作,34
認める,34
時代,34
教育,34
教団,34
北朝鮮,34
神様,34
選ぶ,34
観,34
15,33
証拠,33
後,33
居る,33
以外,33
終わる,33
つまり,33
側,33
行う,33
なさる,33
