term_a,term_b,co_doc_count,pmi,tscore,score
查看,点击,6,5.1836544582279025,2.43575428628159,0.9111776279705789
展开,点击,6,5.1836544582279025,2.43575428628159,0.9111776279705789
展开,查看,6,5.1836544582279025,2.43575428628159,0.9111776279705789
完整,点击,6,5.029503778400645,2.4334650435313256,0.899685152499007
完整,展开,6,5.029503778400645,2.4334650435313256,0.899685152499007
完整,查看,6,5.029503778400645,2.4334650435313256,0.899685152499007
父母,门徒,4,4.960510906913694,1.985981308411215,0.8744628041161047
图片,展开,6,4.8959723857761235,2.431175800781061,0.8897161461666684
亵渎,圣灵,5,4.8959723857761235,2.219349712247455,0.880189653519704
图片,查看,6,4.8959723857761235,2.431175800781061,0.8897161461666684
图片,点击,6,4.8959723857761235,2.431175800781061,0.8897161461666684
大叔,门徒,3,4.855150391255869,1.7185613152980916,0.8546514481743552
地上,门徒,3,4.855150391255869,1.7185613152980916,0.8546514481743552
地上,大叔,3,4.855150391255869,1.7185613152980916,0.8546514481743552
图片,完整,6,4.741821705948866,2.428123477114042,0.878189352520254
大叔,观点,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
业务,回到,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
乃是,门徒,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
观点,门徒,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
我来,门徒,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
地上,父母,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
地上,观点,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
安息日,礼拜,4,4.6728288344619155,1.9813084112149533,0.8529970763180799
乃是,地上,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
世上,地上,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
世上,大叔,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
大叔,我来,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
世上,门徒,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
念,阿米,6,4.6728288344619155,2.426597315280532,0.8730231340134357
大叔,父母,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
地上,我来,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
禁果,蛇,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
乃是,大叔,3,4.6728288344619155,1.7158634168439346,0.8410591710083293
