2026-03-29 06:07:12,069 - INFO - 开始训练流程...
2026-03-29 06:07:12,069 - INFO - 日志将保存至: /root/autodl-tmp/Master_Thesis/model_train/classifier/logs/20260329_060712_train.log
2026-03-29 06:07:12,095 - INFO - 训练集大小: 4223, 验证集大小: 600
2026-03-29 06:07:15,534 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4044943820224719, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23922468297265073, 'hate_recall': 1.0, 'best_rel_th': 0.63, 'best_hate_th': 0.3, 'total_loss': 0.0010581601298216617, 'lr': 1.893939393939394e-08}
2026-03-29 06:07:16,189 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4044943820224719, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23922468297265073, 'hate_recall': 1.0, 'best_rel_th': 0.63, 'best_hate_th': 0.3, 'total_loss': 0.0017275086067842715, 'lr': 3.787878787878788e-08}
2026-03-29 06:07:16,835 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.39751552795031053, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23573525593657005, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.002447192754709359, 'lr': 5.681818181818182e-08}
2026-03-29 06:07:17,486 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.39751552795031053, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23573525593657005, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.003280392706845746, 'lr': 7.575757575757576e-08}
2026-03-29 06:07:18,135 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.39751552795031053, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23573525593657005, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.004129012707959522, 'lr': 9.46969696969697e-08}
2026-03-29 06:07:18,784 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4016393442622951, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23779716409256232, 'hate_recall': 1.0, 'best_rel_th': 0.6, 'best_hate_th': 0.3, 'total_loss': 0.004944650794972073, 'lr': 1.1363636363636364e-07}
2026-03-29 06:07:19,433 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4016393442622951, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23779716409256232, 'hate_recall': 1.0, 'best_rel_th': 0.6, 'best_hate_th': 0.3, 'total_loss': 0.005864323370835998, 'lr': 1.325757575757576e-07}
2026-03-29 06:07:20,082 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4012539184952978, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23760445120906368, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.006884432030898152, 'lr': 1.5151515151515152e-07}
2026-03-29 06:07:20,733 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4012539184952978, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23760445120906368, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.007466938346624374, 'lr': 1.7045454545454545e-07}
2026-03-29 06:07:21,382 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4050632911392405, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.23950913753103503, 'hate_recall': 1.0, 'best_rel_th': 0.5800000000000001, 'best_hate_th': 0.3, 'total_loss': 0.00819973387953007, 'lr': 1.893939393939394e-07}
2026-03-29 06:07:22,031 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4028776978417266, 'hate_f1': 0.07395498392282958, 'combined_f1': 0.2384163408822781, 'hate_recall': 1.0, 'best_rel_th': 0.59, 'best_hate_th': 0.3, 'total_loss': 0.009016464379700747, 'lr': 2.0833333333333333e-07}
