Topic_ID,Topic_Size,Top_Targets,Target_Categories,Unique_Targets,LLM_Enriched_Rows
0,499,"['統一教会(451)', '安倍晋三(92)', '自民党(51)', '日本人(21)', '韓国(16)', '創価学会(15)', '山上(14)', '北朝鮮(14)', '韓国人(13)', 'ネトウヨ(12)']","{'Organization': 600, 'Specific Person': 302, 'Political Group': 157, 'Social Identity': 149, 'Religious Group': 30}",348,480
1,312,"['Trump(90)', 'トランプ(34)', 'Christian(32)', 'Catholics(28)', 'Catholic(25)', 'Jesus(25)', '川普(18)', '基督徒(15)', 'Christians(14)', '耶稣(11)']","{'PERSON': 384, 'NORP': 254, 'ORG': 178, 'Specific Person': 127, 'Social Identity': 104}",623,79
2,208,"['教会(63)', '神父(43)', 'priests(31)', '耶稣(26)', '主教(20)', '信徒(18)', 'Jesus(17)', '教皇(11)', 'イエス・キリスト(11)', 'bishops(10)']","{'Social Identity': 217, 'PERSON': 108, 'Organization': 91, 'ORG': 65, 'NORP': 63}",279,39
3,149,"['教会(38)', 'LGBT(20)', '神父(18)', 'LGBTQ(11)', 'priests(10)', '信徒(9)', 'Jesus(9)', 'カトリック(9)', 'Catholic(8)', 'Catholics(7)']","{'Social Identity': 145, 'PERSON': 50, 'Organization': 47, 'Religious Group': 40, 'NORP': 39}",168,53
4,143,"['耶稣(12)', '神棍(12)', '神父(11)', 'Jesus(10)', '基督徒(6)', '教堂(6)', '修女(6)', 'キリスト教(6)', 'Satan(4)', '基督狗(3)']","{'PERSON': 75, 'Social Identity': 62, 'Specific Person': 60, 'NORP': 26, 'Organization': 23}",192,21
5,138,"['Jesus(24)', '教会(17)', 'Catholics(14)', '神父(13)', 'Catholic(13)', 'priests(10)', '耶稣(9)', 'Christian(9)', '信徒(7)', 'Vatican(5)']","{'PERSON': 83, 'NORP': 79, 'Social Identity': 63, 'ORG': 56, 'Organization': 34}",226,18
6,122,"['神父(32)', '教会(31)', '主教(16)', 'priests(14)', '教皇(12)', 'bishops(11)', '梵蒂冈(9)', '神职人员(8)', 'Catholic Church(8)', 'Jesus(8)']","{'Social Identity': 123, 'PERSON': 77, 'Organization': 72, 'ORG': 54, 'Specific Person': 47}",204,38
7,119,"['Jesus(21)', '耶稣(7)', '教会(6)', 'Christian(6)', 'キリスト教(6)', '神棍(4)', 'クリスチャン(4)', 'イエス・キリスト(4)', '基督徒(3)', '基督教(3)']","{'PERSON': 80, 'NORP': 34, 'Religious Group': 19, 'Organization': 11, 'Specific Person': 10}",116,19
8,117,"['教会(19)', 'Catholic(10)', 'カトリック(8)', 'Christian(7)', 'Jesus(7)', '信徒(6)', '耶稣(5)', '主教(5)', '神父(5)', '教団(5)']","{'NORP': 54, 'Social Identity': 46, 'PERSON': 45, 'Organization': 44, 'ORG': 40}",170,38
9,103,"['耶稣(62)', 'Jesus(13)', '孔子(10)', '洪秀全(6)', 'イエス・キリスト(5)', '耶稣手(4)', '格里菲斯(3)', '基督教(3)', '耶稣布(2)', '孙悟空(2)']","{'PERSON': 82, 'Specific Person': 27, 'ORG': 15, 'NORP': 13, 'Social Identity': 8}",62,12
10,93,"['耶稣(9)', 'Jesus(6)', '教会(4)', 'Christian(3)', '犹太人(2)', '基督教(2)', 'Christians(2)', 'イエス・キリスト(2)', 'キリスト教(2)', '教皇(1)']","{'PERSON': 32, 'NORP': 14, 'Specific Person': 8, 'Social Identity': 8, 'Organization': 6}",61,8
