topic,en,jp,zh,entropy
0,0.9281045751633987,0.006535947712418301,0.06535947712418301,0.280416397802112
1,0.9545454545454546,0.01818181818181818,0.02727272727272727,0.21549883857728735
2,0.1527777777777778,0.027777777777777776,0.8194444444444444,0.5497515141224524
3,0.8787878787878788,0.0,0.12121212121212122,0.3693331216456527
4,0.0,0.9846153846153847,0.015384615384615385,0.07948700320303707
5,0.4262295081967213,0.4262295081967213,0.14754098360655737,1.00929941871195
6,0.06896551724137931,0.0,0.9310344827586207,0.2509548043576197
7,0.037037037037037035,0.8333333333333334,0.12962962962962962,0.5388455753759137
8,0.0,1.0,0.0,0.0
9,0.3404255319148936,0.2127659574468085,0.44680851063829785,1.0560573532426365
10,0.15217391304347827,0.45652173913043476,0.391304347826087,1.0116189208867028
11,0.047619047619047616,0.023809523809523808,0.9285714285714286,0.30278393827917544
12,0.0,1.0,0.0,0.0
13,0.2972972972972973,0.02702702702702703,0.6756756756756757,0.7231140309553841
14,0.05555555555555555,0.1111111111111111,0.8333333333333334,0.5566469035821068
15,0.02857142857142857,0.7714285714285715,0.2,0.6236633064750114
16,0.0,0.9714285714285714,0.02857142857142857,0.12974069471942834
17,0.058823529411764705,0.38235294117647056,0.5588235294117647,0.8594494477843309
18,0.0,0.967741935483871,0.03225806451612903,0.1425058673927378
19,0.13333333333333333,0.23333333333333334,0.6333333333333333,0.8975010785945179
20,1.0,0.0,0.0,0.0
21,0.6,0.36666666666666664,0.03333333333333333,0.7877460602317207
22,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.9556998911125343
23,0.03571428571428571,0.10714285714285714,0.8571428571428571,0.4904499103768102
24,0.25925925925925924,0.037037037037037035,0.7037037037037037,0.7193290272061972
25,0.4074074074074074,0.0,0.5925925925925926,0.6759010305740114
26,0.8148148148148148,0.14814814814814814,0.037037037037037035,0.5718327393983101
27,0.0,0.0,1.0,0.0
28,0.0,0.0,1.0,0.0
29,0.04,0.96,0.0,0.167944147734173
30,1.0,0.0,0.0,0.0
31,0.0,1.0,0.0,0.0
32,0.19047619047619047,0.8095238095238095,0.0,0.48691270946460224
33,0.0,0.047619047619047616,0.9523809523809523,0.19144408195771734
34,0.15,0.1,0.75,0.7305880613711224
35,0.95,0.05,0.0,0.1985152433458726
36,0.75,0.0,0.25,0.5623351446188083
37,0.0,1.0,0.0,0.0
38,0.0,0.0,1.0,0.0
39,0.7,0.2,0.1,0.8018185525433373
40,0.0,1.0,0.0,0.0
41,0.15,0.65,0.2,0.8864644756797975
42,0.42105263157894735,0.10526315789473684,0.47368421052631576,0.9551311954514641
43,0.631578947368421,0.15789473684210525,0.21052631578947367,0.9097077103274986
44,0.9473684210526315,0.0,0.05263157894736842,0.20619205063323187
45,0.0,1.0,0.0,0.0
46,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.42584844923858145
47,0.17647058823529413,0.058823529411764705,0.7647058823529411,0.677908725644198
48,0.0,0.0,1.0,0.0
49,0.0,1.0,0.0,0.0
50,0.0,0.0625,0.9375,0.2337916587064593
51,0.0,0.6,0.4,0.6730116670092565
52,0.0,1.0,0.0,0.0
